val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
667,97,661,892,888,895,936,660,373,934,4,0,3,6,5,7,9,2,1,8
624,758,384,648,871,235,291,138,217,20,6,8,5,7,9,3,4,1,2,0
140,20,322,179,749,414,375,694,133,687,2,0,4,3,9,6,5,8,1,7
186,893,836,833,336,38,851,499,394,959,1,8,6,5,2,0,7,4,3,9
131,140,134,157,652,450,396,53,305,778,1,3,2,4,8,7,6,0,5,9
113,632,81,472,224,473,794,455,517,620,1,8,0,4,2,5,9,3,6,7
388,573,110,598,472,304,698,595,569,136,3,6,0,8,4,2,9,7,5,1
428,818,505,962,457,265,789,584,879,882,1,6,3,9,2,0,5,4,7,8
607,154,901,692,335,92,598,728,608,307,5,1,9,7,3,0,4,8,6,2
277,548,961,882,704,367,490,610,363,388,0,5,9,8,7,2,4,6,1,3
944,290,928,329,931,897,64,846,855,392,9,1,7,2,8,6,0,4,5,3
372,314,306,961,207,611,6,621,991,138,5,4,3,8,2,6,0,7,9,1
732,887,73,417,821,404,675,167,28,75,7,9,1,5,8,4,6,3,0,2
524,124,872,617,119,548,647,525,60,770,3,2,9,6,1,5,7,4,0,8
785,162,175,415,185,615,282,652,676,72,9,1,2,5,3,6,4,7,8,0
45,991,674,255,95,339,704,986,250,199,0,9,6,4,1,5,7,8,3,2
816,196,874,868,112,636,377,955,646,362,6,1,8,7,0,4,3,9,5,2
349,347,718,628,82,708,449,488,114,262,4,3,9,7,0,8,5,6,1,2
958,345,849,215,522,588,645,406,526,833,9,1,8,0,3,5,6,2,4,7
603,337,69,28,340,931,110,329,423,116,8,5,1,0,6,9,2,4,7,3
941,530,544,0,448,575,902,241,787,695,9,3,4,0,2,5,8,1,7,6
543,324,466,55,341,690,981,438,249,8,7,3,6,1,4,8,9,5,2,0
167,369,790,635,363,118,237,844,932,181,1,5,7,6,4,0,3,8,9,2
699,491,687,187,937,443,698,303,952,331,7,4,5,0,8,3,6,1,9,2
629,584,81,373,416,485,865,103,538,73,8,7,1,3,4,5,9,2,6,0
65,861,295,318,716,331,83,642,130,771,0,9,3,4,7,5,1,6,2,8
644,123,6,172,914,232,301,846,510,567,7,1,0,2,9,3,4,8,5,6
674,810,321,590,561,721,581,441,116,219,7,9,2,6,4,8,5,3,0,1
768,242,492,48,950,246,14,684,492,426,8,2,5,1,9,3,0,7,6,4
259,631,873,558,253,43,277,74,730,898,3,6,8,5,2,0,4,1,7,9
888,949,715,423,835,20,508,30,87,540,8,9,6,3,7,0,4,1,2,5
58,891,917,218,336,692,810,610,160,577,0,8,9,2,3,6,7,5,1,4
843,685,502,569,756,970,871,88,704,383,7,4,2,3,6,9,8,0,5,1
587,65,414,491,71,130,111,259,29,200,9,1,7,8,2,4,3,6,0,5
112,508,100,231,110,322,333,769,171,230,2,8,0,5,1,6,7,9,3,4
778,636,479,835,868,943,387,241,930,795,4,3,2,6,7,9,1,0,8,5
613,750,776,717,829,38,880,341,491,19,4,6,7,5,8,1,9,2,3,0
731,168,141,535,520,155,294,805,149,220,8,3,0,7,6,2,5,9,1,4
876,289,263,615,442,119,660,984,831,796,8,2,1,4,3,0,5,9,7,6
9,973,7,201,581,982,638,749,247,170,1,8,0,3,5,9,6,7,4,2
460,792,536,747,469,432,543,706,621,754,1,9,3,7,2,0,4,6,5,8
703,536,440,995,576,173,727,398,303,885,6,4,3,9,5,0,7,2,1,8
677,571,83,824,777,975,471,305,667,504,6,4,0,8,7,9,2,1,5,3
561,800,712,456,212,485,240,876,83,113,6,8,7,4,2,5,3,9,0,1
501,214,793,149,382,225,485,305,681,70,7,2,9,1,5,3,6,4,8,0
753,769,214,627,440,7,114,700,114,210,8,9,4,6,5,0,1,7,2,3
445,184,965,520,950,198,79,344,729,195,5,1,9,6,8,3,0,4,7,2
879,239,17,67,901,995,485,14,226,518,7,4,1,2,8,9,5,0,3,6
630,778,275,151,331,269,193,189,249,238,8,9,6,0,7,5,2,1,4,3
154,566,216,411,65,661,90,385,229,395,2,8,3,7,0,9,1,5,4,6
310,267,180,320,900,858,921,122,366,861,3,2,1,4,8,6,9,0,5,7
387,252,471,276,270,476,374,407,322,283,6,0,8,2,1,9,5,7,4,3
305,893,113,314,653,420,599,991,744,930,1,7,0,2,5,3,4,9,6,8
554,627,297,354,50,844,820,429,518,62,6,7,2,3,0,9,8,4,5,1
552,590,475,672,13,44,390,537,220,863,6,7,4,8,0,1,3,5,2,9
955,324,459,499,339,989,579,283,671,969,7,1,3,4,2,9,5,0,6,8
920,442,967,496,883,185,940,705,199,675,7,2,9,3,6,0,8,5,1,4
225,150,25,483,573,686,313,146,298,913,3,2,0,6,7,8,5,1,4,9
741,948,211,946,100,769,471,340,462,328,6,9,1,8,0,7,5,3,4,2
882,513,807,955,943,213,78,905,811,685,6,2,4,9,8,1,0,7,5,3
157,537,102,364,36,45,292,48,405,429,4,9,3,6,0,1,5,2,7,8
363,100,502,133,703,38,576,723,513,62,4,2,5,3,8,0,7,9,6,1
669,16,426,688,232,307,625,882,500,284,7,0,4,8,1,3,6,9,5,2
702,992,767,971,103,739,676,902,246,342,4,9,6,8,0,5,3,7,1,2
2,137,114,245,653,991,105,20,609,867,0,4,3,5,7,9,2,1,6,8
973,688,808,620,667,135,514,475,24,584,9,7,8,5,6,1,3,2,0,4
551,229,59,763,584,570,564,494,724,267,4,1,0,9,7,6,5,3,8,2
68,888,464,55,955,743,851,206,750,117,1,8,4,0,9,5,7,3,6,2
259,946,132,347,745,93,177,592,774,684,3,9,1,4,7,0,2,5,8,6
835,249,228,808,102,194,37,916,676,354,8,4,3,7,1,2,0,9,6,5
132,576,912,554,61,283,193,747,116,257,2,7,9,6,0,5,3,8,1,4
239,18,66,629,481,608,217,4,696,46,5,1,3,8,6,7,4,0,9,2
830,263,78,482,81,526,171,821,587,702,9,3,0,4,1,5,2,8,6,7
615,117,36,747,815,281,961,891,294,903,4,1,0,5,6,2,9,7,3,8
529,172,480,694,103,620,703,61,564,150,5,3,4,8,1,7,9,0,6,2
565,166,793,280,750,366,193,362,945,621,5,0,8,2,7,4,1,3,9,6
361,625,680,361,471,670,183,552,435,970,1,6,8,2,4,7,0,5,3,9
183,32,829,75,848,336,714,894,535,965,2,0,6,1,7,3,5,8,4,9
740,847,324,720,593,509,91,337,265,343,8,9,2,7,6,5,0,3,1,4
125,718,144,728,360,656,583,620,72,924,1,7,2,8,3,6,4,5,0,9
300,198,208,282,587,241,468,733,717,107,5,1,2,4,7,3,6,9,8,0
749,890,877,913,713,804,528,238,82,756,4,8,7,9,3,6,2,1,0,5
210,32,975,837,869,438,272,644,518,952,1,0,9,6,7,3,2,5,4,8
299,673,742,758,916,194,347,380,440,600,1,6,7,8,9,0,2,3,4,5
272,359,240,10,627,533,105,826,970,111,4,5,3,0,7,6,1,8,9,2
109,765,761,41,757,232,490,196,785,287,1,8,7,0,6,3,5,2,9,4
279,97,469,963,828,612,281,728,755,140,2,0,4,9,8,5,3,6,7,1
785,983,348,134,483,459,494,154,591,182,8,9,3,0,5,4,6,1,7,2
141,765,121,27,34,562,332,852,54,602,4,8,3,0,1,6,5,9,2,7
294,543,734,420,835,614,504,347,50,602,1,5,8,3,9,7,4,2,0,6
478,499,180,300,957,650,137,813,324,603,4,5,1,2,9,7,0,8,3,6
959,796,795,557,346,844,966,219,34,167,8,6,5,4,3,7,9,2,0,1
399,185,619,237,729,777,152,956,843,497,3,1,5,2,6,7,0,9,8,4
792,5,538,254,910,731,753,638,564,102,8,0,3,2,9,6,7,5,4,1
502,622,887,224,433,140,745,919,427,411,5,6,8,1,4,0,7,9,3,2
739,493,622,749,992,883,415,812,457,470,5,3,4,6,9,8,0,7,1,2
266,252,94,589,365,500,845,763,144,897,3,2,0,6,4,5,8,7,1,9
640,246,369,231,849,168,828,649,863,319,5,2,4,1,8,0,7,6,9,3
263,968,321,906,556,971,929,959,586,603,0,8,1,5,2,9,6,7,3,4
947,982,969,792,41,26,395,641,392,110,7,9,8,6,1,0,4,5,3,2
177,420,534,136,610,643,217,520,358,556,1,4,6,0,8,9,2,5,3,7
896,605,959,92,606,746,51,822,519,746,8,3,9,1,4,5,0,7,2,6
193,720,461,836,444,664,437,376,497,439,0,8,5,9,4,7,2,1,6,3
258,966,124,49,874,889,349,404,918,168,3,9,1,0,6,7,4,5,8,2
640,50,70,519,275,45,538,619,545,493,9,1,2,5,3,0,6,8,7,4
873,391,78,356,597,283,367,724,544,891,8,4,0,2,6,1,3,7,5,9
874,968,279,352,850,997,512,910,123,204,6,8,2,3,5,9,4,7,0,1
816,891,729,339,28,963,754,599,524,351,7,8,5,1,0,9,6,4,3,2
885,103,9,386,277,819,876,953,322,61,8,2,0,5,3,6,7,9,4,1
581,729,54,851,665,765,520,130,33,758,4,6,1,9,5,8,3,2,0,7
909,323,383,173,443,49,251,884,396,636,9,3,4,1,6,0,2,8,5,7
446,758,640,174,383,993,205,933,440,798,4,6,5,0,2,9,1,8,3,7
783,499,336,255,91,119,571,146,415,885,8,6,4,3,0,1,7,2,5,9
76,654,795,234,799,533,164,947,823,31,1,5,6,3,7,4,2,9,8,0
219,600,464,565,492,635,133,621,513,255,1,7,3,6,4,9,0,8,5,2
734,943,216,236,455,475,61,555,297,260,8,9,1,2,5,6,0,7,4,3
661,723,368,182,889,812,81,960,740,641,4,5,2,1,8,7,0,9,6,3
226,840,504,960,906,834,643,565,278,433,0,7,3,9,8,6,5,4,1,2
995,401,294,973,434,525,898,998,229,651,8,2,1,7,3,4,6,9,0,5
340,891,833,723,14,872,865,925,761,940,1,7,4,2,0,6,5,8,3,9
578,797,999,289,101,173,237,578,895,862,4,6,9,3,0,1,2,5,8,7
931,77,672,118,708,226,113,962,193,674,8,0,5,2,7,4,1,9,3,6
993,477,907,193,111,9,128,777,144,644,9,5,8,4,1,0,2,7,3,6
21,144,939,390,21,944,525,303,77,565,0,3,8,5,1,9,6,4,2,7
204,187,834,210,648,309,512,284,340,425,1,0,9,2,8,4,7,3,5,6
831,508,281,395,808,462,907,748,387,571,8,4,0,2,7,3,9,6,1,5
623,575,255,355,76,590,733,155,337,460,8,6,2,4,0,7,9,1,3,5
363,62,69,127,956,554,13,113,443,438,5,1,2,4,9,8,0,3,7,6
778,702,642,4,490,361,785,328,585,965,7,6,5,0,3,2,8,1,4,9
282,321,628,590,591,190,808,118,738,560,2,3,7,5,6,1,9,0,8,4
386,628,328,915,861,253,466,806,319,943,3,5,2,8,7,0,4,6,1,9
